TIME ,ID ,POS_X ,POS_Y, TAR_X, TAR_Y, AGENT_RADIUS, COLOR_R, COLOR_G, COLOR_B 
0,0,0,10,0,-10,0.25,1,0,0
0,1,-3.09017,9.51057,3.09017,-9.51057,0.25,1,0.3,0
0,2,-5.87785,8.09017,5.87785,-8.09017,0.25,1,0.6,0
0,3,-8.09017,5.87785,8.09017,-5.87785,0.25,1,0.9,0
0,4,-9.51057,3.09017,9.51057,-3.09017,0.25,0.8,1,0
0,5,-10,-1.03428e-12,10,1.03428e-12,0.25,0.5,1,0
0,6,-9.51057,-3.09017,9.51057,3.09017,0.25,0.2,1,0
0,7,-8.09017,-5.87785,8.09017,5.87785,0.25,0,1,0.1
0,8,-5.87785,-8.09017,5.87785,8.09017,0.25,0,1,0.4
0,9,-3.09017,-9.51057,3.09017,9.51057,0.25,0,1,0.7
0,10,2.06857e-12,-10,-2.06857e-12,10,0.25,0,1,1
0,11,3.09017,-9.51057,-3.09017,9.51057,0.25,0,0.7,1
0,12,5.87785,-8.09017,-5.87785,8.09017,0.25,0,0.4,1
0,13,8.09017,-5.87785,-8.09017,5.87785,0.25,0,0.1,1
0,14,9.51057,-3.09017,-9.51057,3.09017,0.25,0.2,0,1
0,15,10,3.10196e-12,-10,-3.10196e-12,0.25,0.5,0,1
0,16,9.51057,3.09017,-9.51057,-3.09017,0.25,0.8,0,1
0,17,8.09017,5.87785,-8.09017,-5.87785,0.25,1,0,0.9
0,18,5.87785,8.09017,-5.87785,-8.09017,0.25,1,0,0.6
0,19,3.09017,9.51057,-3.09017,-9.51057,0.25,1,0,0.3
1,0,-0.00819703,9.94626,0,-10,0.25,1,0,0
1,1,-2.95475,9.36339,3.09017,-9.51057,0.25,1,0.3,0
1,2,-5.71527,7.97984,5.87785,-8.09017,0.25,1,0.6,0
1,3,-8.06526,5.86843,8.09017,-5.87785,0.25,1,0.9,0
1,4,-9.44867,3.05947,9.51057,-3.09017,0.25,0.8,1,0
1,5,-9.87123,-0.0748644,10,1.03428e-12,0.25,0.5,1,0
1,6,-9.34247,-3.09502,9.51057,3.09017,0.25,0.2,1,0
1,7,-7.95723,-5.85973,8.09017,5.87785,0.25,0,1,0.1
1,8,-5.74832,-7.98192,5.87785,8.09017,0.25,0,1,0.4
1,9,-3.00441,-9.35441,3.09017,9.51057,0.25,0,1,0.7
1,10,0.0403586,-9.88161,-2.06857e-12,10,0.25,0,1,1
1,11,3.08971,-9.50914,-3.09017,9.51057,0.25,0,0.7,1
1,12,5.86894,-8.07791,-5.87785,8.09017,0.25,0,0.4,1
1,13,8.04543,-5.71929,-8.09017,5.87785,0.25,0,0.1,1
1,14,9.35778,-3.03141,-9.51057,3.09017,0.25,0.2,0,1
1,15,9.81304,0.0300096,-10,-3.10196e-12,0.25,0.5,0,1
1,16,9.48317,3.0766,-9.51057,-3.09017,0.25,0.8,0,1
1,17,8.00053,5.84308,-8.09017,-5.87785,0.25,1,0,0.9
1,18,5.75468,7.9326,-5.87785,-8.09017,0.25,1,0,0.6
1,19,3.06328,9.40419,-3.09017,-9.51057,0.25,1,0,0.3
2,0,-0.0155661,9.8779,0,-10,0.25,1,0,0
2,1,-2.82677,9.21188,3.09017,-9.51057,0.25,1,0.3,0
2,2,-5.55725,7.86433,5.87785,-8.09017,0.25,1,0.6,0
2,3,-8.02666,5.8482,8.09017,-5.87785,0.25,1,0.9,0
2,4,-9.37394,3.02567,9.51057,-3.09017,0.25,0.8,1,0
2,5,-9.73534,-0.142167,10,1.03428e-12,0.25,0.5,1,0
2,6,-9.17218,-3.09315,9.51057,3.09017,0.25,0.2,1,0
2,7,-7.82144,-5.83161,8.09017,5.87785,0.25,0,1,0.1
2,8,-5.62595,-7.86437,5.87785,8.09017,0.25,0,1,0.4
2,9,-2.92108,-9.19483,3.09017,9.51057,0.25,0,1,0.7
2,10,0.0766407,-9.75506,-2.06857e-12,10,0.25,0,1,1
2,11,3.08311,-9.48884,-3.09017,9.51057,0.25,0,0.7,1
2,12,5.84916,-8.05069,-5.87785,8.09017,0.25,0,0.4,1
2,13,7.98892,-5.5649,-8.09017,5.87785,0.25,0,0.1,1
2,14,9.20125,-2.97236,-9.51057,3.09017,0.25,0.2,0,1
2,15,9.62478,0.056988,-10,-3.10196e-12,0.25,0.5,0,1
2,16,9.43949,3.05822,-9.51057,-3.09017,0.25,0.8,0,1
2,17,7.90368,5.80001,-8.09017,-5.87785,0.25,1,0,0.9
2,18,5.63208,7.77459,-5.87785,-8.09017,0.25,1,0,0.6
2,19,3.0329,9.28944,-3.09017,-9.51057,0.25,1,0,0.3
3,0,-0.0221827,9.79637,0,-10,0.25,1,0,0
3,1,-2.70556,9.05646,3.09017,-9.51057,0.25,1,0.3,0
3,2,-5.40337,7.74411,5.87785,-8.09017,0.25,1,0.6,0
3,3,-7.97575,5.81822,8.09017,-5.87785,0.25,1,0.9,0
3,4,-9.28765,2.98909,9.51057,-3.09017,0.25,0.8,1,0
3,5,-9.59304,-0.202595,10,1.03428e-12,0.25,0.5,1,0
3,6,-8.99993,-3.08519,9.51057,3.09017,0.25,0.2,1,0
3,7,-7.68312,-5.79445,8.09017,5.87785,0.25,0,1,0.1
3,8,-5.50412,-7.74234,5.87785,8.09017,0.25,0,1,0.4
3,9,-2.83997,-9.03218,3.09017,9.51057,0.25,0,1,0.7
3,10,0.109217,-9.62117,-2.06857e-12,10,0.25,0,1,1
3,11,3.07099,-9.45154,-3.09017,9.51057,0.25,0,0.7,1
3,12,5.81961,-8.01001,-5.87785,8.09017,0.25,0,0.4,1
3,13,7.92177,-5.41436,-8.09017,5.87785,0.25,0,0.1,1
3,14,9.04135,-2.91305,-9.51057,3.09017,0.25,0.2,0,1
3,15,9.43534,0.0812105,-10,-3.10196e-12,0.25,0.5,0,1
3,16,9.38115,3.0355,-9.51057,-3.09017,0.25,0.8,0,1
